2024-07-19 09:08:37,797 INFO 99 URLs loaded from urls.csv
2024-07-19 09:08:41,962 INFO Waiting for OTP to be received...
2024-07-19 09:09:16,716 INFO Total URLs to process: 99
2024-07-19 09:09:26,732 INFO 09:09 Morrisons Aberdeen submitted (Orders 70, Units 1732, Fulfilled 1723, UPH 82, INF 1.3 %, Found 98.7 %, Cancelled 2, Lates 0 %, Time available: 27:28)
2024-07-19 09:09:39,930 INFO 09:09 Glenrothes submitted (Orders 44, Units 1054, Fulfilled 1045, UPH 69, INF 1.7 %, Found 98.3 %, Cancelled 0, Lates 6.7 %, Time available: 18:21)
2024-07-19 09:09:41,676 INFO 09:09 Morrisons Gyle submitted (Orders 339, Units 8990, Fulfilled 8833, UPH 85, INF 2.6 %, Found 97.4 %, Cancelled 12, Lates 3.2 %, Time available: 122:12)
2024-07-19 09:09:43,632 ERROR Failed to process URL. Please check the website availability and layout.
2024-07-19 09:09:43,632 ERROR Failed to process URL. Please check the website availability and layout.
2024-07-19 09:09:43,637 ERROR Failed to process URL. Please check the website availability and layout.
2024-07-19 09:09:54,210 INFO 09:09 Morrisons Anniesland submitted (Orders 423, Units 9920, Fulfilled 9783, UPH 79, INF 2.8 %, Found 97.2 %, Cancelled 14, Lates 1.6 %, Time available: 154:59)
2024-07-19 09:09:56,091 INFO 09:09 Morrisons Dundee submitted (Orders 33, Units 671, Fulfilled 668, UPH 94, INF 0.4 %, Found 99.6 %, Cancelled 1, Lates 15.6 %, Time available: 10:59)
2024-07-19 09:09:58,013 INFO 09:09 Morrisons Aberdeen submitted (Orders 70, Units 1732, Fulfilled 1723, UPH 82, INF 1.3 %, Found 98.7 %, Cancelled 2, Lates 0 %, Time available: 27:28)
2024-07-19 09:09:58,152 INFO 09:09 Morrisons Stirling submitted (Orders 104, Units 2751, Fulfilled 2728, UPH 87, INF 1.7 %, Found 98.3 %, Cancelled 5, Lates 1.1 %, Time available: 43:08)
2024-07-19 09:10:01,220 INFO 09:10 Cardonald Morrisons submitted (Orders 273, Units 6707, Fulfilled 6567, UPH 73, INF 3.3 %, Found 96.7 %, Cancelled 27, Lates 37.6 %, Time available: 108:06)
2024-07-19 09:10:07,734 INFO 09:10 Morrisons Stevenson submitted (Orders 91, Units 2412, Fulfilled 2353, UPH 90, INF 2.9 %, Found 97.1 %, Cancelled 5, Lates 0 %, Time available: 34:35)
2024-07-19 09:10:12,483 INFO 09:10 Morrisons Auckland submitted (Orders 41, Units 1135, Fulfilled 1126, UPH 89, INF 1.5 %, Found 98.5 %, Cancelled 4, Lates 0 %, Time available: 16:38)
2024-07-19 09:10:13,973 INFO 09:10 Morrisons Boroughbridge submitted (Orders 33, Units 924, Fulfilled 918, UPH 79, INF 2.4 %, Found 97.6 %, Cancelled 1, Lates 0 %, Time available: 13:31)
2024-07-19 09:10:15,574 INFO 09:10 Byker Morrisons submitted (Orders 377, Units 9374, Fulfilled 9285, UPH 88, INF 1.7 %, Found 98.3 %, Cancelled 6, Lates 0.2 %, Time available: 246:13)
2024-07-19 09:10:18,087 INFO 09:10 Jarrow Morrisons submitted (Orders 204, Units 5227, Fulfilled 5173, UPH 68, INF 2.0 %, Found 98.0 %, Cancelled 3, Lates 0 %, Time available: 117:11)
